Train Dataset,Test Dataset,Model,Accuracy,F1 Weighted,F1 Attack,F1 Benign,Training time,Testing time
CICIoT2023,IoT_Network_Intrusion,Decision Tree,0.44875,0.4282171343487471,0.5365699873896596,0.3198642813078347,3.831623077392578,0.0074024200439453125
CICIoT2023,IoT_Network_Intrusion,Random Forest,0.364625,0.33790912633426234,0.4709066305818674,0.20491162208665728,11.096661806106567,0.13257431983947754
CICIoT2023,IoT_Network_Intrusion,KNN,0.316,0.3154823335147205,0.2966580976863753,0.3343065693430657,0.04131722450256348,3.2069954872131348
CICIoT2023,IoT_Network_Intrusion,SVM,0.149125,0.1491233913114117,0.1479534359744649,0.1502933466483585,34.13796329498291,7.5230865478515625
CICIoT2023,IoT_Network_Intrusion,Logistic Regression,0.09125,0.09107185008261619,0.10379684418145957,0.07834685598377282,3.314819574356079,0.005024909973144531
CICIoT2023,IoT_Network_Intrusion,XGBoost,0.174,0.16501213847176877,0.25164212910532274,0.07838214783821479,6.069453239440918,0.01966714859008789
CICIoT2023,UQIoT,Decision Tree,0.4911485625265543,0.4834236594342009,0.3605623776472682,0.5774432553216512,5.1177897453308105,0.0068662166595458984
CICIoT2023,UQIoT,Random Forest,0.32870698201387905,0.31673544779339385,0.3797435226380529,0.26851851851851855,10.877639770507812,0.13097691535949707
CICIoT2023,UQIoT,KNN,0.5504885993485342,0.4965000665372675,0.26048462255358806,0.6771108850457782,0.03611254692077637,2.764559507369995
CICIoT2023,UQIoT,SVM,0.514516357456451,0.45547748062634674,0.19906542056074766,0.6516968095915464,38.01096820831299,6.576507806777954
CICIoT2023,UQIoT,Logistic Regression,0.5871689562384931,0.5837469974564556,0.6053878435088669,0.5671863400148478,3.4455180168151855,0.0053522586822509766
CICIoT2023,UQIoT,XGBoost,0.6181843931454468,0.5649057511844071,0.34942084942084944,0.7298055722589697,5.8580543994903564,0.019013404846191406
IoT_Network_Intrusion,CICIoT2023,Decision Tree,0.1415,0.13476146823722326,0.05840416780915821,0.2111187686652883,2.0512208938598633,0.0065081119537353516
IoT_Network_Intrusion,CICIoT2023,Random Forest,0.335875,0.26161711376407093,0.027457440966501923,0.4957767865616399,7.676251411437988,0.14778971672058105
IoT_Network_Intrusion,CICIoT2023,KNN,0.36875,0.3437979157462512,0.47175732217573224,0.21583850931677018,0.048119306564331055,3.2120814323425293
IoT_Network_Intrusion,CICIoT2023,SVM,0.267125,0.2670851363024917,0.26167988918272256,0.27249038342226084,5.647023677825928,1.3277921676635742
IoT_Network_Intrusion,CICIoT2023,Logistic Regression,0.280125,0.24993457359280313,0.40041644976574703,0.09945269741985927,1.7922251224517822,0.005606174468994141
IoT_Network_Intrusion,CICIoT2023,XGBoost,0.04325,0.04314947089128552,0.052957188814649836,0.03334175296792119,3.9011802673339844,0.014146804809570312
IoT_Network_Intrusion,UQIoT,Decision Tree,0.30052400509842797,0.25760904185857403,0.41012779171145347,0.14089406853365802,1.9918572902679443,0.005398750305175781
IoT_Network_Intrusion,UQIoT,Random Forest,0.5994901572015295,0.5392895981162532,0.3048180924287119,0.7187189178436443,7.720742702484131,0.13339710235595703
IoT_Network_Intrusion,UQIoT,KNN,0.43435773969692676,0.4222346330244517,0.27116788321167884,0.5378384633186762,0.04078817367553711,2.8054659366607666
IoT_Network_Intrusion,UQIoT,SVM,0.3498088089505736,0.33394053927082923,0.41027617212588313,0.2755246962284993,5.76683497428894,1.1964566707611084
IoT_Network_Intrusion,UQIoT,Logistic Regression,0.4107066987678799,0.3521684314259962,0.5271053528810092,0.21829795228254745,1.7502970695495605,0.004675626754760742
IoT_Network_Intrusion,UQIoT,XGBoost,0.32290043903129867,0.26822117138784285,0.4443927948866938,0.1334058365053471,3.8478853702545166,0.012818098068237305
UQIoT,CICIoT2023,Decision Tree,0.301125,0.2975966413536271,0.3473794793976888,0.24781380330956546,4.077650547027588,0.007136344909667969
UQIoT,CICIoT2023,Random Forest,0.107375,0.10189339228690739,0.17205797101449274,0.031728813559322035,8.503479480743408,0.13961386680603027
UQIoT,CICIoT2023,KNN,0.296,0.2943056278123775,0.259726603575184,0.328884652049571,0.030656099319458008,2.459383249282837
UQIoT,CICIoT2023,SVM,0.591875,0.5807881500558224,0.6489624771529943,0.5126138229586505,67.65484809875488,28.674123287200928
UQIoT,CICIoT2023,Logistic Regression,0.149375,0.1396394694281142,0.048118617988529865,0.23116032086769855,5.756638526916504,0.0059337615966796875
UQIoT,CICIoT2023,XGBoost,0.29375,0.25412127697605713,0.42604632263307596,0.08219623131903833,4.162472248077393,0.020427227020263672
UQIoT,IoT_Network_Intrusion,Decision Tree,0.565125,0.5422329194630106,0.6446010828480948,0.43986475607792624,4.117106199264526,0.006457328796386719
UQIoT,IoT_Network_Intrusion,Random Forest,0.505625,0.3732130306475254,0.6612999914361566,0.08512606985889429,8.450265169143677,0.12669801712036133
UQIoT,IoT_Network_Intrusion,KNN,0.43675,0.4129129446050921,0.531210986267166,0.2946149029430182,0.030795812606811523,2.490345001220703
UQIoT,IoT_Network_Intrusion,SVM,0.304125,0.2445249987400551,0.4567190397189421,0.03233095776116809,64.6527910232544,28.60513401031494
UQIoT,IoT_Network_Intrusion,Logistic Regression,0.912875,0.912843121009683,0.9111762456989932,0.9145099963203729,5.758256435394287,0.004190683364868164
UQIoT,IoT_Network_Intrusion,XGBoost,0.71225,0.6955435417372178,0.7668624670852745,0.6242246163891609,4.186587572097778,0.020444869995117188
