Train Dataset,Test Dataset,Model,Accuracy,F1,F1 Attack,F1 Benign,Training time,Testing time
CICIoT2023,IoT_Network_Intrusion,Decision Tree,0.442875,0.4168188202654936,0.540088742131875,0.29354889839911236,5.192725896835327,0.01696157455444336
CICIoT2023,IoT_Network_Intrusion,Random Forest,0.379625,0.36402361486805274,0.463633416189344,0.2644138135467615,9.095722198486328,0.16307711601257324
CICIoT2023,IoT_Network_Intrusion,KNN,0.313875,0.3135465212845991,0.2985303514376997,0.3285626911314985,0.04720568656921387,3.9537343978881836
CICIoT2023,IoT_Network_Intrusion,SVM,0.146,0.1459909795297213,0.1487665088462497,0.14321545021319287,210.9908230304718,7.4665608406066895
CICIoT2023,IoT_Network_Intrusion,Logistic Regression,0.079,0.07899792774533743,0.08037943085371942,0.07761642463695544,3.580775737762451,0.0047833919525146484
CICIoT2023,IoT_Network_Intrusion,XGBoost,0.17775,0.16721000158252888,0.2608988764044944,0.07352112676056338,5.360210180282593,0.0193331241607666
CICIoT2023,IoT_Network_Intrusion,DNN,0.19575,0.18439349502472424,0.2806350626118068,0.08815192743764172,48.70917344093323,0.01330709457397461
CICIoT2023,UQIoT,Decision Tree,0.4166548647500354,0.3948965193137294,0.20712223291626564,0.5385907919793884,5.800434350967407,0.004811525344848633
CICIoT2023,UQIoT,Random Forest,0.3207760940376717,0.31019206321095866,0.3679493937796521,0.265993265993266,10.5957510471344,0.1658778190612793
CICIoT2023,UQIoT,KNN,0.5493556153519331,0.49409868795670225,0.2551498127340824,0.6769543147208121,0.04165506362915039,2.6679158210754395
CICIoT2023,UQIoT,SVM,0.5033281404900156,0.4485573409829507,0.19803338669105877,0.640270797004821,207.94886660575867,6.9503045082092285
CICIoT2023,UQIoT,Logistic Regression,0.5918425152244725,0.5889572496635562,0.6077844311377245,0.5745497490404488,3.420624256134033,0.0038094520568847656
CICIoT2023,UQIoT,XGBoost,0.6456592550630222,0.6064585603282519,0.4274599542334096,0.7434372436423298,6.14706826210022,0.024240732192993164
CICIoT2023,UQIoT,DNN,0.5684747202945758,0.5703053770086143,0.5444760053819704,0.5900713036459034,45.40744090080261,0.012369632720947266
CICIoT2023,Mininet,Decision Tree,0.445375,0.30813802646372046,0.0,0.6162760529274409,25.19741654396057,0.025154829025268555
CICIoT2023,Mininet,Random Forest,0.317375,0.24198141768317782,0.002921307285010042,0.48104152808134565,15.621994733810425,0.13717293739318848
CICIoT2023,Mininet,KNN,0.4045,0.28800284798860804,0.0,0.5760056959772161,0.0450901985168457,4.893558502197266
CICIoT2023,Mininet,SVM,0.401875,0.28666963887650476,0.0,0.5733392777530094,224.08100032806396,7.550451278686523
CICIoT2023,Mininet,Logistic Regression,0.753625,0.7377034301780688,0.8023267475679471,0.6730801127881905,3.594897747039795,0.005823373794555664
CICIoT2023,Mininet,XGBoost,0.333,0.24981245311327832,0.0,0.49962490622655664,5.6025989055633545,0.01871633529663086
CICIoT2023,Mininet,DNN,0.78,0.7699008926537984,0.8181066556428276,0.7216951296647691,43.41548943519592,0.01201939582824707
IoT_Network_Intrusion,CICIoT2023,Decision Tree,0.153625,0.14501086422421172,0.059191329720716966,0.23083039872770647,2.149106025695801,0.00693058967590332
IoT_Network_Intrusion,CICIoT2023,Random Forest,0.34475,0.26696546004734517,0.02817945865776789,0.5057514614369225,7.859359979629517,0.1513805389404297
IoT_Network_Intrusion,CICIoT2023,KNN,0.380125,0.35849463178275864,0.4762910550216496,0.2406982085438677,0.04611539840698242,3.5115320682525635
IoT_Network_Intrusion,CICIoT2023,SVM,0.255625,0.2544983489814349,0.22551697229808818,0.28347972566478163,40.877315044403076,1.4854812622070312
IoT_Network_Intrusion,CICIoT2023,Logistic Regression,0.338,0.290792298561444,0.4737678855325914,0.1078167115902965,1.8919603824615479,0.00484466552734375
IoT_Network_Intrusion,CICIoT2023,XGBoost,0.032,0.03155233506688467,0.05237395986294665,0.010730710270822688,3.8347630500793457,0.02429366111755371
IoT_Network_Intrusion,CICIoT2023,DNN,0.3535,0.33927082556845606,0.24230881922062703,0.43623283191628515,25.264429569244385,0.013657093048095703
IoT_Network_Intrusion,UQIoT,Decision Tree,0.3008072510975782,0.25780140862150513,0.4105074626865672,0.14094310074821645,2.1974453926086426,0.008404254913330078
IoT_Network_Intrusion,UQIoT,Random Forest,0.5798045602605864,0.5312523529258145,0.3146223146223146,0.6970284897375677,8.545367002487183,0.16105031967163086
IoT_Network_Intrusion,UQIoT,KNN,0.43110041070669874,0.418210691887448,0.26361136571952337,0.5365178262374524,0.047588348388671875,2.9243526458740234
IoT_Network_Intrusion,UQIoT,SVM,0.3669451918991644,0.3566666175763578,0.41215149921094163,0.3142068119054925,40.71695852279663,1.3512654304504395
IoT_Network_Intrusion,UQIoT,Logistic Regression,0.40192607279422177,0.34609648389991343,0.5167639317999771,0.21549321939438976,1.9822711944580078,0.005395650863647461
IoT_Network_Intrusion,UQIoT,XGBoost,0.32290043903129867,0.26822117138784285,0.4443927948866938,0.1334058365053471,3.9792628288269043,0.01411747932434082
IoT_Network_Intrusion,UQIoT,DNN,0.3513666619459,0.3538870476542649,0.32208407341622264,0.37822427368992667,26.826555728912354,0.012362003326416016
IoT_Network_Intrusion,Mininet,Decision Tree,0.767875,0.7546553349228,0.811605965303845,0.6977047045417548,2.1468007564544678,0.00421595573425293
IoT_Network_Intrusion,Mininet,Random Forest,0.2935,0.2319909208608224,0.014644351464435146,0.44933749025720965,8.019722700119019,0.1862926483154297
IoT_Network_Intrusion,Mininet,KNN,0.3245,0.27612933334512096,0.08900876601483479,0.4632499006754072,0.041878461837768555,3.1968159675598145
IoT_Network_Intrusion,Mininet,SVM,0.76375,0.7497844538698184,0.8088978766430738,0.690671031096563,43.02153301239014,1.490389347076416
IoT_Network_Intrusion,Mininet,Logistic Regression,0.592125,0.5107288683518968,0.7102903311728669,0.31116740553092676,2.250844717025757,0.005210399627685547
IoT_Network_Intrusion,Mininet,XGBoost,0.63975,0.5860241940273864,0.7351589781290204,0.43688940992575226,4.441574335098267,0.019956350326538086
IoT_Network_Intrusion,Mininet,DNN,0.8275,0.8222569236241221,0.8527842969916791,0.791729550256565,27.889986991882324,0.01436758041381836
UQIoT,CICIoT2023,Decision Tree,0.08075,0.07764720519828704,0.1311436672967864,0.024150743099787687,4.240322589874268,0.0068891048431396484
UQIoT,CICIoT2023,Random Forest,0.192375,0.17071180244060186,0.3047455073711396,0.03667809751006411,9.664649486541748,0.18566536903381348
UQIoT,CICIoT2023,KNN,0.2925,0.2904116370987088,0.25191646841131377,0.3289068057861039,0.034494638442993164,2.863107681274414
UQIoT,CICIoT2023,SVM,0.583375,0.5745059420203706,0.6359366466411797,0.5130752373995617,485.88887333869934,29.040223598480225
UQIoT,CICIoT2023,Logistic Regression,0.141,0.13296775913107525,0.049515905947441215,0.21641961231470924,5.918383598327637,0.004797935485839844
UQIoT,CICIoT2023,XGBoost,0.2775,0.2360245360369077,0.4140308191403082,0.058018252933507174,4.138976812362671,0.01960468292236328
UQIoT,CICIoT2023,DNN,0.363625,0.3625071463202468,0.33581213307240704,0.3892021595680864,38.263824462890625,0.012736082077026367
UQIoT,IoT_Network_Intrusion,Decision Tree,0.73775,0.7370389533298038,0.750712927756654,0.7233649789029536,4.106730699539185,0.006476163864135742
UQIoT,IoT_Network_Intrusion,Random Forest,0.516875,0.3991603674208195,0.6651070097911793,0.13321372505045975,9.113791465759277,0.1905994415283203
UQIoT,IoT_Network_Intrusion,KNN,0.497625,0.452058072232523,0.6100708256524692,0.29404531881257684,0.028334856033325195,2.4369263648986816
UQIoT,IoT_Network_Intrusion,SVM,0.3055,0.24744402204598923,0.4564664449227157,0.03842159916926272,478.94482684135437,32.40644979476929
UQIoT,IoT_Network_Intrusion,Logistic Regression,0.912875,0.9128439492951231,0.9111988788380685,0.9144890197521777,5.438468933105469,0.005342245101928711
UQIoT,IoT_Network_Intrusion,XGBoost,0.763,0.7517642121371196,0.8045763760049475,0.6989520482692918,4.276021480560303,0.019290685653686523
UQIoT,IoT_Network_Intrusion,DNN,0.6265,0.6264568324176962,0.6224412433661866,0.630472421469206,34.53055238723755,0.012285709381103516
UQIoT,Mininet,Decision Tree,0.623875,0.5619924039744495,0.7266285091305533,0.39735629881834567,4.211912631988525,0.006824493408203125
UQIoT,Mininet,Random Forest,0.672125,0.6532390495200384,0.7341643863382994,0.5723137127017772,9.783956527709961,0.17873787879943848
UQIoT,Mininet,KNN,0.295,0.2627176788470107,0.10844135314574771,0.41699400454827373,0.02884197235107422,2.780954360961914
UQIoT,Mininet,SVM,0.686,0.651654530044242,0.76103500761035,0.5422740524781341,455.2205648422241,30.031116485595703
UQIoT,Mininet,Logistic Regression,0.785125,0.7747237085064358,0.8231299516411154,0.7263174653717561,5.480686187744141,0.004745006561279297
UQIoT,Mininet,XGBoost,0.2045,0.16986852316623155,0.00031416902293433867,0.33942287730952875,3.905038833618164,0.01959085464477539
UQIoT,Mininet,DNN,0.617375,0.5517504129898366,0.7232619112196004,0.3802389147600729,36.670719146728516,0.01250314712524414
Mininet,CICIoT2023,Decision Tree,0.276125,0.23747949578117689,0.06581706726891434,0.40914192429343943,0.9848623275756836,0.006127595901489258
Mininet,CICIoT2023,Random Forest,0.28875,0.24651684534745008,0.0681297084834589,0.42490398221144127,2.2662510871887207,0.14241838455200195
Mininet,CICIoT2023,KNN,0.4945,0.3358501721345298,0.011246943765281174,0.6604534005037783,0.028416872024536133,3.2134506702423096
Mininet,CICIoT2023,SVM,0.59325,0.5925052779269915,0.5750848785583703,0.6099256772956125,28.980947971343994,1.088663101196289
Mininet,CICIoT2023,Logistic Regression,0.549375,0.5492309722523685,0.5572884686233575,0.5411734758813797,0.9346835613250732,0.004708290100097656
Mininet,CICIoT2023,XGBoost,0.2865,0.24516844328025356,0.0685378590078329,0.42179902755267423,2.0642716884613037,0.013852357864379883
Mininet,CICIoT2023,DNN,0.76675,0.7564393309756504,0.7063267233238905,0.8065519386274104,19.696808576583862,0.010283470153808594
Mininet,IoT_Network_Intrusion,Decision Tree,0.74725,0.7346693296837901,0.6768935762224353,0.7924450831451447,0.8825161457061768,0.006243228912353516
Mininet,IoT_Network_Intrusion,Random Forest,0.58825,0.5122442030689968,0.31970260223048325,0.7047858039075103,2.326472520828247,0.13645029067993164
Mininet,IoT_Network_Intrusion,KNN,0.502375,0.3385894922496823,0.009455088330430456,0.6677238961689341,0.0351409912109375,2.996316432952881
Mininet,IoT_Network_Intrusion,SVM,0.6245,0.6141863325893618,0.5511057979677226,0.6772668672110013,28.627392768859863,1.1656887531280518
Mininet,IoT_Network_Intrusion,Logistic Regression,0.73175,0.7253629726322794,0.6834808259587021,0.7672451193058568,1.2315599918365479,0.0053558349609375
Mininet,IoT_Network_Intrusion,XGBoost,0.59925,0.5369698722067177,0.3671535728385314,0.706786171574904,2.3871636390686035,0.01301431655883789
Mininet,IoT_Network_Intrusion,DNN,0.6155,0.5659903184517819,0.4194035485088713,0.7125770883946926,21.215595960617065,0.014370441436767578
Mininet,UQIoT,Decision Tree,0.42274465373176606,0.4231678607733804,0.33852645245050306,0.4879396984924623,0.9870998859405518,0.004947185516357422
Mininet,UQIoT,Random Forest,0.4061747627814757,0.4068226776604676,0.32185023451399,0.47184783977830963,3.3069889545440674,0.17321062088012695
Mininet,UQIoT,KNN,0.4934145305197564,0.4190956265271686,0.1260688981187393,0.6433343304417191,0.042339324951171875,2.909586191177368
Mininet,UQIoT,SVM,0.43577396969267806,0.43522714419988573,0.3440895620678301,0.5049701789264414,29.66439175605774,1.0683119297027588
Mininet,UQIoT,Logistic Regression,0.3585894349242317,0.35935146310772265,0.35235235235235235,0.36470753261326977,1.134594202041626,0.004311084747314453
Mininet,UQIoT,XGBoost,0.4303922957088231,0.4311529795730113,0.35108099386899,0.49242806663301364,2.0812442302703857,0.011646509170532227
Mininet,UQIoT,DNN,0.3996601048010197,0.40130326726021076,0.3270360374662645,0.4581362648600281,20.48918128013611,0.011323690414428711
